GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M000534_A140011-101-xxx_NA_1393.41_PRED_VAR5_ALK_Tetradecane. n-,Tetradecane. n-,,,,,,,,629-59-4,InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2.1-2H3,C14H30,198.389,,1393.41
M000915_A140012-101-xxx_NA_1401.28_TRUE_VAR5_ALK_Hydroquinone (2TMS),Hydroquinone,Hydroquinone,HMDB0002434,785,17594,C00530,6681,C1=CC(=CC=C1O)O,,InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4.7-8H,C12H22O2Si2,254.473,,1401.28
M001115_A140013-101-xxx_NA_1401.76_TRUE_VAR5_ALK_Propaonic acid. 2-amino-3-ureido- (2TMS),Propaonic acid. 2-amino-3-ureido-,NA,,,,,,,,InChI=1S/C4H9N3O3/c5-2(3(8)9)1-7-4(6)10/h2H.1.5H2.(H.8.9)(H3.6.7.10),C10H25N3O3Si2,291.495,,1401.76
M000916_A140014-101-xxx_NA_1407.32_TRUE_VAR5_ALK_Cinnamaldehyde. trans- (1MEOX) MP,Cinnamaldehyde. trans-,Cinnamaldehyde,HMDB0003441,637511,16731,C00903,6931,C1=CC=C(C=C1)/C=C/C=O,14371-10-9,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,C10H11NO,161.201,,1407.32
M000917_A140015-101-xxx_NA_1405.51_TRUE_VAR5_ALK_Perillyl alcohol (1TMS),Perillyl alcohol,Perillyl alcohol,HMDB0003634,10819,15420,C02452,6969,CC(=C)C1CCC(=CC1)CO,,InChI=1S/C10H16O/c1-8(2)10-5-3-9(7-11)4-6-10/h3.10-11H.1.4-7H2.2H3,C13H24OSi,224.415,,1405.51
M000918_A140016-101-xxx_NA_1380.17_TRUE_VAR5_ALK_Tartronic acid (3TMS),Tartronic acid,Hydroxypropanedioic acid,HMDB0035227,45,16513,C02287,,C(C(=O)O)(C(=O)O)O,,InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1.4H.(H.5.6)(H.7.8),C12H28O5Si3,336.604,,1380.17
M001226_A140017-101-xxx_NA_1403.84_TRUE_VAR5_ALK_Hydantoin. 5-methyl- (2TMS),Hydantoin. 5-methyl-,,,,,,,,,InChI=1S/C4H6N2O2/c1-2-3(7)6-4(8)5-2/h2H.1H3.(H2.5.6.7.8),C10H22N2O2Si2,258.465,,1403.84
M000000_A140018-101-xxx_NA_1406.29_TRUE_VAR5_ALK_D140626,D140626,,,,,,,,,,,,,1406.29
M000891_A140019-101-xxx_NA_1401.16_TRUE_VAR5_ALK_Malonic acid. methyl- (3TMS),Malonic acid. methyl-,Methylmalonic acid,HMDB0000202,487,30860,C02170,3712,CC(C(=O)O)C(=O)O,516-05-2,InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H.1H3.(H.5.6)(H.7.8),C13H30O4Si3,334.632,,1401.16
M000000_A140020-101-xxx_NA_1408.28_TRUE_VAR5_ALK_NA140020 (classified unknown),NA140020 (classified unknown),,,,,,,,,,,,,1408.28
M001234_A140022-101-xxx_NA_1404.61_TRUE_VAR5_ALK_5-Hydroxymethylfurfural (1MEOX) (1TMS) MP,5-Hydroxymethylfurfural,5-Hydroxymethyl-2-furancarboxaldehyde,HMDB0034355,237332,412516,C11101,,C1=C(OC(=C1)C=O)CO,,InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3.8H.4H2,C10H17NO3Si,227.333,,1404.61
M000000_A140023-101-xxx_NA_1394.24_PRED_VAR5_ALK_Oxomalonic-acid_1MeOX_2TMS,Oxomalonic-acid2TMS,,,,,,,,,,,,,1394.24
M000000_A140024-101-xxx_NA_1392.33_PRED_VAR5_ALK_Unknown#sst-cgl-020,Unknown#sst-cgl-020,,,,,,,,,,,,,1392.33
M000024_A141001-101-xxx_NA_1390.58_TRUE_VAR5_ALK_Serine. O-acetyl- (2TMS),Serine. O-acetyl-,O-Acetylserine,HMDB0003011,99478,17981,C00979,3270,CC(=O)OC[C@@H](C(=O)O)N,5147-00-2,InChI=1S/C5H9NO4/c1-3(7)10-2-4(6)5(8)9/h4H.2.6H2.1H3.(H.8.9)/t4-/m1/s1,C11H25NO4Si2,291.492,,1390.58
M000415_A141002-101-xxx_NA_1381.38_TRUE_VAR5_ALK_Lactic acid dimer (2TMS),Lactic acid dimer,,,,,,,,343224-19-1,InChI=1S/C6H10O5/c1-3(7)6(10)11-4(2)5(8)9/h3-4.7H.1-2H3.(H.8.9),C12H26O5Si2,306.503,,1381.38
M000000_A141003-101-xxx_NA_1388.91_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1388.91
M000000_A141004-101-xxx_NA_1388.96_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1388.96
M000000_A141005-101-xxx_NA_1386_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1386
M000000_A141006-101-xxx_NA_1411.67_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1411.67
M000919_A141010-101-xxx_NA_1411.99_TRUE_VAR5_ALK_Pentanedioic acid. 2-methyl- (2TMS),Pentanedioic acid. 2-methyl-,,,,,,,,,InChI=1S/C6H10O4/c1-4(6(9)10)2-3-5(7)8/h4H.2-3H2.1H3.(H.7.8)(H.9.10),C12H26O4Si2,290.504,,1411.99
M000000_A141014-101-xxx_NA_1414.93_TRUE_VAR5_ALK_NA141014 (classified unknown),NA141014 (classified unknown),,,,,,,,,,,,,1414.93
M000000_A141015-101-xxx_NA_1402.37_PRED_VAR5_ALK_Unknown#sst-cgl-023,Unknown#sst-cgl-023,,,,,,,,,,,,,1402.37
M000000_A141016-101-xxx_NA_1401.97_PRED_VAR5_ALK_Unknown#bth-pae-025,Unknown#bth-pae-025,,,,,,,,,,,,,1401.97
M000000_A141017-101-xxx_NA_1404.58_PRED_VAR5_ALK_Unknown#bth-pae-027,Unknown#bth-pae-027,,,,,,,,,,,,,1404.58
M000848_A141023-101-xxx_NA_1415.57_TRUE_VAR5_ALK_NA141023 (classified unknown),NA141023 (classified unknown),Ureidopropionic acid,HMDB0000026,111,18261,C02642,5097,C(CNC(=O)N)C(=O)O,462-88-4,InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2.(H.7.8)(H3.5.6.9),,,,1415.57
M000430_A141024-101-xxx_NA_1415.96_TRUE_VAR5_ALK_Aminomalonic acid (3TMS),Aminomalonic acid,Aminomalonic acid,HMDB0001147,100714,17475,C00872,,C(C(=O)O)(C(=O)O)N,1068-84-4,InChI=1S/C3H5NO4/c4-1(2(5)6)3(7)8/h1H.4H2.(H.5.6)(H.7.8),,,,1415.96
M000000_A142001-101-xxx_NA_1395.2_PRED_VAR5_ALK_Alanine [+CO2] (2TMS),Alanine,,,5950,16977,,,,,,C10H23NO4Si2,277.465,,1395.2
M000000_A142003-101-xxx_NA_1401.04_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1401.04
M000000_A142004-101-xxx_NA_1402.56_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1402.56
M000000_A142005-101-xxx_NA_1407.88_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1407.88
M000462_A142006-101-xxx_NA_1397.96_TRUE_VAR5_ALK_Thymine (2TMS),Thymine,Thymine,HMDB0000262,1135,17821,C00178,290,CC1=CNC(=O)NC1=O,65-71-4,InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H.1H3.(H2.6.7.8.9),C11H22N2O2Si2,270.476,,1397.96
M000018_A142007-101-xxx_NA_1416.46_TRUE_VAR5_ALK_Methionine (1TMS),Methionine,L-Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@@H](C(=O)O)N,63-68-3,InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H.2-3.6H2.1H3.(H.7.8)/t4-/m0/s1,C8H19NO2SSi,221.394,,1416.46
M001117_A142008-101-xxx_NA_1427.93_TRUE_VAR5_ALK_Oxaloacetate (1MEOX) (2TMS) BP,Oxaloacetate,Oxalacetic acid,HMDB0000223,970,30744,C00036,123,C(C(=O)C(=O)O)C(=O)O,328-42-7,InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2.(H.6.7)(H.8.9),C11H23NO5Si2,305.475,,1427.93
M000920_A142009-101-xxx_NA_1421.75_TRUE_VAR5_ALK_Pentanedioic acid. 3-methyl- (2TMS),Pentanedioic acid. 3-methyl-,,,,,,,,626-51-7,InChI=1S/C6H10O4/c1-4(2-5(7)8)3-6(9)10/h4H.2-3H2.1H3.(H.7.8)(H.9.10),C12H26O4Si2,290.504,,1421.75
M000921_A142010-101-xxx_NA_1425.17_TRUE_VAR5_ALK_Proline. 3-hydroxy-. trans- (2TMS),Proline. 3-hydroxy-. trans-,NA,,,,,,,,InChI=1S/C5H9NO3/c7-3-1-2-6-4(3)5(8)9/h3-4.6-7H.1-2H2.(H.8.9)/t3-.4-/m0/s1,C11H25NO3Si2,275.492,,1425.17
M000922_A142011-101-xxx_NA_1423.84_TRUE_VAR5_ALK_Hydrocinnamic acid (1TMS),Hydrocinnamic acid,Hydrocinnamic acid,HMDB0000764,107,28631,C05629,4153,C1=CC=C(C=C1)CCC(=O)O,501-52-0,InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H.6-7H2.(H.10.11),C12H18O2Si,222.356,,1423.84
M000578_A142012-101-xxx_NA_1428.01_TRUE_VAR5_ALK_Diethanolamine (3TMS),Diethanolamine,Diethanolamine,HMDB0004437,8113,28123,C06772,3239,C(CO)NCCO,111-42-2,InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H.1-4H2,C13H35NO2Si3,321.679,,1428.01
M000923_A142013-101-xxx_NA_1429.73_TRUE_VAR5_ALK_Butanoic acid. 4-methylthio-2-oxo- (1MEOX) (1TMS) BP,Butanoic acid. 4-methylthio-2-oxo-,2-Oxo-4-methylthiobutanoic acid,HMDB0001553,473,33574,C01180,6319,CSCCC(=O)C(=O)O,,InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2.1H3.(H.7.8),C9H19NO3SSi,249.404,,1429.73
M001224_A142014-101-xxx_NA_1424.08_TRUE_VAR5_ALK_2.5-Diketopiperazine (2TMS),2.5-Diketopiperazine,NA,,,,,,,,InChI=1S/C4H6N2O2/c7-3-1-5-4(8)2-6-3/h1-2H2.(H.5.8)(H.6.7),,,,1424.08
M000000_A142015-101-xxx_NA_1412.32_PRED_VAR5_ALK_Cysteine_4TMS,Cysteine,,,5862,17561,,5556,,,,,,,1412.32
M000000_A142016-101-xxx_NA_1412.62_PRED_VAR5_ALK_Unknown#bth-pae-028,Unknown#bth-pae-028,,,,,,,,,,,,,1412.62
M000102_A143001-101-xxx_NA_1401.37_PRED_VAR5_ALK_Glutaric acid (2TMS),Glutaric acid,Glutaric acid,HMDB0000661,743,17859,C00489,3254,C(CC(=O)O)CC(=O)O,110-94-1,InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2.(H.6.7)(H.8.9),C11H24O4Si2,276.477,,1401.37
M000000_A143002-101-xxx_NA_1410.42_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1410.42
M000000_A143003-101-xxx_NA_1420.25_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1420.25
M000730_A143004-101-xxx_NA_1403.98_PRED_VAR5_ALK_Butanoic acid. 2.4-dihydroxy- (3TMS),Butanoic acid. 2.4-dihydroxy-,,,,,,,,55191-52-1,InChI=1S/C4H8O4/c5-2-1-3(6)4(7)8/h3.5-6H.1-2H2.(H.7.8),C13H32O4Si3,336.648,,1403.98
M000228_A143005-101-xxx_NA_1422.06_PRED_VAR5_ALK_Butyric acid. 2-amino-. DL- (3TMS) (Derivate not found),Butyric acid. 2-amino-. DL-,NA,,,,,,,1492-24-6,InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H.2.5H2.1H3.(H.6.7)/t3-/m0/s1,C13H33NO2Si3,319.663,,1422.06
M000240_A143006-101-xxx_NA_1427.46_TRUE_VAR5_ALK_Cyclopropanecarboxylic acid. 1-amino- (3TMS),Cyclopropanecarboxylic acid. 1-amino-,NA,,,,,,,22059-21-8,InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2.5H2.(H.6.7),C13H31NO2Si3,317.648,,1427.46
M000736_A143007-101-xxx_NA_1420.55_PRED_VAR5_ALK_Undecanoic acid methyl ester. n-,Undecanoic acid methyl ester. n-,,,,,,,,1731-86-8,InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-12(13)14-2/h3-11H2.1-2H3,C12H24O2,200.318,,1420.55
M000000_A143010-101-xxx_NA_1427.56_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1427.56
M000908_A143011-101-xxx_NA_1433.96_TRUE_VAR5_ALK_Norvaline. 3-hydroxy- (3TMS),Norvaline. 3-hydroxy-,NA,,,,,,,,InChI=1S/C5H11NO3/c1-2-3(7)4(6)5(8)9/h3-4.7H.2.6H2.1H3.(H.8.9)/t3?.4-/m0/s1,C14H35NO3Si3,349.689,,1433.96
M000849_A143012-101-xxx_NA_1431.09_TRUE_VAR5_ALK_Phenol. 2-amino- (2TMS),Phenol. 2-amino-,2-Aminophenol,METPA0236,,,C01987,,,95-55-6,InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4.8H.7H2,C12H23NOSi2,253.488,,1431.09
M000924_A143013-101-xxx_NA_1438.03_TRUE_VAR5_ALK_Benzylamine (2TMS),Benzylamine,Benzylamine,HMDB0033871,7504,40538,C15562,,C1=CC=C(C=C1)CN,,InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H.6.8H2,C13H25NSi2,251.516,,1438.03
M000925_A143014-101-xxx_NA_1436.91_TRUE_VAR5_ALK_Maleamic acid (2TMS) MP,Maleamic acid,Maleamate,METPA0190,,,C01596,,,557-24-4,InChI=1S/C4H5NO3/c5-3(6)1-2-4(7)8/h1-2H.(H2.5.6)(H.7.8)/b2-1-,C10H21NO3Si2,259.45,,1436.91
M001203_A143018-101-xxx_NA_1434.91_TRUE_VAR5_ALK_N-methyl trans-4-hydroxy-L-proline (2S.4R)-4-hydroxy-1-methyl pyrrolidine-2-carboxylic acid (2TMS),N-methyl trans-4-hydroxy-L-proline (2S.4R)-4-hydroxy-1-methyl pyrrolidine-2-carboxylic acid,,,,,,,,,InChI=1S/C12H20N2O5/c1-13-5-7(15)3-10(13)12(18)19-8-4-9(11(16)17)14(2)6-8/h7-10.15H.3-6H2.1-2H3.(H.16.17)/t7-.8-.9+.10+/m1/s1,C18H36N2O5Si2,416.66,,1434.91
M000000_A143019-101-xxx_NA_1429.29_PRED_VAR5_ALK_Unknown#sst-cgl-024,Unknown#sst-cgl-024,,,,,,,,,,,,,1429.29
M000000_A143020-101-xxx_NA_1428.29_PRED_VAR5_ALK_2-Hydroxydecanoic_acid_1MeO,2-Hydroxydecanoic_acid,,,,,,,,,,,,,1428.29
M001227_A143025-101-xxx_NA_1433.85_TRUE_VAR5_ALK_Glycinamide (2TMS) BP2,Glycinamide  2,,,,,,,,,InChI=1S/C2H6N2O/c3-1-2(4)5/h1.3H2.(H2.4.5),,,,1433.85
M000027_A144001-101-xxx_NA_1423.86_TRUE_VAR5_ALK_Alanine. beta- (3TMS),Alanine. beta-,Beta-Alanine,HMDB0000056,239,16958,C00099,5119,C(CN)C(=O)O,107-95-9,InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2.4H2.(H.5.6),C12H31NO2Si3,305.637,,1423.86
M000130_A144002-101-xxx_NA_1417.5_PRED_VAR5_ALK_Cysteine. S-methyl-. DL- (2TMS),Cysteine. S-methyl-. DL-,,,,,,,,7728-98-5,InChI=1S/C4H9NO2S/c1-8-2-3(5)4(6)7/h3H.2.5H2.1H3.(H.6.7)/t3-/m0/s1,C10H25NO2SSi2,279.548,,1417.5
M000033_A144003-101-xxx_NA_1422.05_TRUE_VAR5_ALK_Aspartic acid (2TMS),Aspartic acid,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,C([C@@H](C(=O)O)N)C(=O)O,617-45-8,InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H.1.5H2.(H.6.7)(H.8.9),C10H23NO4Si2,CKLJMWTZIZZHCS-UHFFFAOYSA-N,,1422.05
M000000_A144004-101-xxx_NA_1415.51_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1415.51
M000000_A144005-101-xxx_NA_1427.89_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1427.89
M000000_A144006-101-xxx_NA_1423.54_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1423.54
M000000_A144007-101-xxx_NA_1429.78_PRED_VAR5_ALK_similar to Aspartic acid (2TMS),similar to Aspartic acid,,,,,,,,,,,,,1429.78
M000597_A144008-101-xxx_NA_1431.57_TRUE_VAR5_ALK_Erythronic acid-1.4-lactone (2TMS),Erythronic acid-1.4-lactone,,,,,,,,55220-75-2,InChI=1S/C4H6O4/c5-2-1-8-4(7)3(2)6/h2-3.5-6H.1H2/t2-.3-/m1/s1,C10H22O4Si2,262.451,,1431.57
M000926_A144012-101-xxx_NA_1443.59_TRUE_VAR5_ALK_Glycine. 2-phenyl- (1TMS),Glycine. 2-phenyl-,NA,,,,,,,,InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5.7H.9H2.(H.10.11),C11H17NO2Si,223.344,,1443.59
M000034_A144013-101-xxx_NA_1449.46_TRUE_VAR5_ALK_Proline. 4-hydroxy-. cis- (2TMS),Proline. 4-hydroxy-. cis-,4-Hydroxy-L-proline,HMDB0006055,69248,18240,C01015,,C1[C@H](NCC1O)C(=O)O,,InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4.6-7H.1-2H2.(H.8.9),C11H25NO3Si2,PMMYEEVYMWASQN-UHFFFAOYSA-N,,1449.46
M000927_A144014-101-xxx_NA_1447.51_TRUE_VAR5_ALK_Benzoic acid. 3-amino-2.3-dihydro- (1TMS),Benzoic acid. 3-amino-2.3-dihydro-,NA,,,,,,,,InChI=1S/C7H9NO2/c8-6-3-1-2-5(4-6)7(9)10/h1-3.6H.4.8H2.(H.9.10),C10H17NO2Si,211.333,,1447.51
M000928_A144016-101-xxx_NA_1449.32_TRUE_VAR5_ALK_Acetamide. 2-phenyl- (2TMS),Acetamide. 2-phenyl-,2-Phenylacetamide,HMDB0010715,7680,16562,C02505,,C1=CC=C(C=C1)CC(=O)N,,InChI=1S/C8H9NO/c9-8(10)6-7-4-2-1-3-5-7/h1-5H.6H2.(H2.9.10),C14H25NOSi2,279.526,,1449.32
M000000_A144017-101-xxx_NA_1443.58_TRUE_VAR5_ALK_NA_204_189_133_93,NA_204_189_133_93,,,,,,,,,,,,,1443.58
M000000_A144018-101-xxx_NA_1448.11_TRUE_VAR5_ALK_NA144018 (classified unknown),NA144018 (classified unknown),,,,,,,,,,,,,1448.11
M000000_A144019-101-xxx_NA_1434.92_PRED_VAR5_ALK_Cadaverine_2TMS,Cadaverine,,,273,18127,,3236,,,,,,,1434.92
M000000_A144020-101-xxx_NA_1435.39_PRED_VAR5_ALK_Ethanolamine_2TMS,Ethanolamine,,,700,16000,,3207,,,,,,,1435.39
M000000_A144021-101-xxx_NA_1432.65_PRED_VAR5_ALK_Taurine_2TMS,Taurine,,,1123,15891,,31,,,,,,,1432.65
M000104_A145001-101-xxx_NA_1427.64_TRUE_VAR5_ALK_Erythrose (1MEOX) (3TMS) BP,Erythrose,Erythrose,HMDB0002649,439574,23956,C01796,289,C1[C@H]([C@H](C(O1)O)O)O,533-49-3,InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1.3-4.6-8H.2H2,C14H35NO4Si3,365.689,,1427.64
M000000_A145002-101-xxx_NA_1431.11_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1431.11
M000000_A145003-101-xxx_NA_1432.44_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1432.44
M000000_A145004-101-xxx_NA_1429.88_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1429.88
M000000_A145005-101-xxx_NA_1436.41_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1436.41
M000000_A145006-101-xxx_NA_1440.49_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1440.49
M000000_A145007-101-xxx_NA_1441.09_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1441.09
M000000_A145008-101-xxx_NA_1447.39_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1447.39
M000929_A145011-101-xxx_NA_1458.99_TRUE_VAR5_ALK_Cysteamine (3TMS),Cysteamine,Cysteamine,HMDB0002991,6058,17141,C01678,3222,C(CS)N,60-23-1,InChI=1S/C2H7NS/c3-1-2-4/h4H.1-3H2,C11H31NSSi3,293.693,,1458.99
M000884_A145012-101-xxx_NA_1455.34_TRUE_VAR5_ALK_Isobutanoic acid. 3-amino- (3TMS),Isobutanoic acid. 3-amino-,(R)-b-aminoisobutyric acid,HMDB0002299,5459822,16320,C01205,6599,C[C@H](CN)C(=O)O,,InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H.2.5H2.1H3.(H.6.7),C13H33NO2Si3,319.663,,1455.34
M000923_A145013-101-xxx_NA_1454.41_TRUE_VAR5_ALK_Butanoic acid. 4-methylthio-2-oxo- (1MEOX) (1TMS) MP,Butanoic acid. 4-methylthio-2-oxo-,2-Oxo-4-methylthiobutanoic acid,HMDB0001553,473,33574,C01180,6319,CSCCC(=O)C(=O)O,,InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2.1H3.(H.7.8),C9H19NO3SSi,249.404,,1454.41
M000930_A145014-101-xxx_NA_1402.88_TRUE_VAR5_ALK_Aniline. 3.4-dimethyl- (1TMS),Aniline. 3.4-dimethyl-,,,,,,,,,InChI=1S/C8H11N/c1-6-3-4-8(9)5-7(6)2/h3-5H.9H2.1-2H3,C11H19NSi,193.361,,1402.88
M000000_A145015-101-xxx_NA_1455.47_TRUE_VAR5_ALK_NA145015,NA145015,,,,,,,,,,,,,1455.47
M000000_A145016-101-xxx_NA_1454.42_TRUE_VAR5_ALK_NA145016 (classified unknown),NA145016 (classified unknown),,,,,,,,,,,,,1454.42
M000000_A145017-101-xxx_NA_1449.81_TRUE_VAR5_ALK_NA145017,NA145017,,,,,,,,,,,,,1449.81
M000000_A145018-101-xxx_NA_1454.74_TRUE_VAR5_ALK_NA145018,NA145018,,,,,,,,,,,,,1454.74
M000000_A145019-101-xxx_NA_1442.6_PRED_VAR5_ALK_Dihydroxymalonic-acid_4TMS,Dihydroxymalonic-acid,,,,,,,,,,,,,1442.6
M000000_A145020-101-xxx_NA_1445.17_PRED_VAR5_ALK_Unknown#bth-pae-030,Unknown#bth-pae-030,,,,,,,,,,,,,1445.17
M000000_A145021-101-xxx_NA_1447.78_PRED_VAR5_ALK_Unknown#bth-pae-063,Unknown#bth-pae-063,,,,,,,,,,,,,1447.78
M001227_A145025-101-xxx_NA_1456.01_TRUE_VAR5_ALK_Glycinamide (3TMS),Glycinamide,,,,,,,,,InChI=1S/C2H6N2O/c3-1-2(4)5/h1.3H2.(H2.4.5),,,,1456.01
M000019_A146001-101-xxx_NA_1441.44_TRUE_VAR5_ALK_Homoserine (3TMS),Homoserine,L-Homoserine,HMDB0000719,12647,15699,C00263,5687,C(CO)[C@@H](C(=O)O)N,672-15-1,InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3.6H.1-2.5H2.(H.7.8)/t3-/m0/s1,C13H33NO3Si3,335.663,,1441.44
M000104_A146002-101-xxx_NA_1440.31_TRUE_VAR5_ALK_Erythrose (1MEOX) (3TMS) MP,Erythrose,Erythrose,HMDB0002649,439574,23956,C01796,289,C1[C@H]([C@H](C(O1)O)O)O,533-49-3,InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1.3-4.6-8H.2H2,C14H35NO4Si3,365.689,,1440.31
M000000_A146003-101-xxx_NA_1447.96_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1447.96
M000000_A146004-101-xxx_NA_1435.92_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1435.92
M000464_A146005-101-xxx_NA_1427.5_TRUE_VAR5_ALK_Threose  (1MEOX) (3TMS) BP,Threose,Erythrose,HMDB0002649,439574,23956,C01796,289,C1[C@H]([C@H](C(O1)O)O)O,29884-64-8,InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1.3-4.6-8H.2H2,C14H35NO4Si3,365.689,,1427.5
M000580_A146006-101-xxx_NA_0_FALSE_VAR5_ALK_Homocysteine thiolactone (1TMS),Homocysteine thiolactone,,,107712,,,6594,,2338/4/7,InChI=1S/C4H7NOS/c5-3-1-2-7-4(3)6/h3H.1-2.5H2,C7H15NOSSi,189.352,,0
M000664_A146007-101-xxx_NA_1470.57_TRUE_VAR5_ALK_Butanoic acid. 4-amino-3-hydroxy- (3TMS),Butanoic acid. 4-amino-3-hydroxy-,NA,,,,,,,352-21-6,InChI=1S/C4H9NO3/c5-2-3(6)1-4(7)8/h3.6H.1-2.5H2.(H.7.8),C13H33NO3Si3,335.663,,1470.57
M000928_A146008-101-xxx_NA_1466.43_TRUE_VAR5_ALK_Acetamide. 2-phenyl- (1TMS),Acetamide. 2-phenyl-,2-Phenylacetamide,HMDB0010715,7680,16562,C02505,,C1=CC=C(C=C1)CC(=O)N,,InChI=1S/C8H9NO/c9-8(10)6-7-4-2-1-3-5-7/h1-5H.6H2.(H2.9.10),C11H17NOSi,207.345,,1466.43
M000125_A146009-101-xxx_NA_1467.75_TRUE_VAR5_ALK_Coumarine,Coumarine,Coumarin,HMDB0001218,323,28794,C05851,3525,C1=CC=C2C(=C1)C=CC(=O)O2,91-64-5,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,C9H6O2,146.143,,1467.75
M000921_A146010-101-xxx_NA_1461.16_TRUE_VAR5_ALK_Proline. 3-hydroxy-. trans- (3TMS),Proline. 3-hydroxy-. trans-,NA,,,,,,,,InChI=1S/C5H9NO3/c7-3-1-2-6-4(3)5(8)9/h3-4.6-7H.1-2H2.(H.8.9)/t3-.4-/m0/s1,C14H33NO3Si3,347.674,,1461.16
M000931_A146011-101-xxx_NA_1461.92_TRUE_VAR5_ALK_Iminodiacetic acid (2TMS),Iminodiacetic acid,,,8897,24786,,,,,InChI=1S/C4H7NO4/c6-3(7)1-5-2-4(8)9/h5H.1-2H2.(H.6.7)(H.8.9),C10H23NO4Si2,277.465,,1461.92
M000932_A146012-101-xxx_NA_1464.09_TRUE_VAR5_ALK_Uracil. dihydro- (1TMS),Uracil. dihydro-,Dihydrouracil,HMDB0000076,649,15901,C00429,285,C1CNC(=O)NC1=O,504-07-4,InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2.(H2.5.6.7.8),C7H14N2O2Si,186.284,,1464.09
M000874_A146013-101-xxx_NA_1462.49_TRUE_VAR5_ALK_1.2.4-Triazole. 3-amino- (3TMS),1.2.4-Triazole. 3-amino-,NA,,,,,,,61-82-5,InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H.(H3.3.4.5.6),C11H28N4Si3,300.624,,1462.49
M000000_A146017-101-xxx_NA_1457.02_PRED_VAR5_ALK_Unknown#bth-pae-065,Unknown#bth-pae-065,,,,,,,,,,,,,1457.02
