"GMDandPRIMe_names","MetNames"
"M000000_A163006-101-xxx_NA_1619.06_PRED_VAR5_ALK_NA","NA"
"M000738_A163007-101-xxx_NA_1624.69_PRED_VAR5_ALK_Tridecanoic acid methyl ester. n-","Tridecanoic acid methyl ester. n-"
"M000818_A163011-101-xxx_NA_0_FALSE_VAR5_ALK_Paracetamol (2TMS)","Paracetamol"
"M000848_A163012-101-xxx_NA_1636.47_TRUE_VAR5_ALK_Propionic acid. 3-ureido- (3TMS)","Propionic acid. 3-ureido-"
"M000000_A163015-101-xxx_NA_1634.41_TRUE_VAR5_ALK_NA163015 (classified unknown)","NA163015 (classified unknown)"
"M000000_A163016-101-xxx_NA_1626.43_PRED_VAR5_ALK_6-deoxy-Mannopyranose_4TMS","6-deoxy-Mannopyranose"
"M000000_A163017-101-xxx_NA_1628.54_PRED_VAR5_ALK_Unknown#sst-cgl-040","Unknown#sst-cgl-040"
"M000000_A163018-101-xxx_NA_1629.95_PRED_VAR5_ALK_Unknown#sst-cgl-041","Unknown#sst-cgl-041"
"M000000_A163019-101-xxx_NA_1627.81_PRED_VAR5_ALK_2-Aminoadipic-acid_2TMS","2-Aminoadipic-acid"
"M000000_A163020-101-xxx_NA_1622.01_PRED_VAR5_ALK_Unknown#bth-pae-042","Unknown#bth-pae-042"
"M001230_A163025-101-xxx_NA_1631.51_TRUE_VAR5_ALK_2-Imidazolidone-4-carboxylic acid (3TMS)","2-Imidazolidone-4-carboxylic acid"
"M000011_A164001-101-xxx_NA_1629.63_TRUE_VAR5_ALK_Phenylalanine (2TMS)","Phenylalanine"
"M000528_A164002-101-xxx_NA_1631.92_TRUE_VAR5_ALK_2-Piperidinecarboxylic acid (1MEOX) (2TMS)","2-Piperidinecarboxylic acid"
"M000463_A164003-101-xxx_NA_1633.29_TRUE_VAR5_ALK_Benzoic acid. 4-hydroxy- (2TMS)","Benzoic acid. 4-hydroxy-"
"M000000_A164004-101-xxx_NA_1630.25_PRED_VAR5_ALK_NA","NA"
"M000431_A164005-101-xxx_NA_1627.16_TRUE_VAR5_ALK_Valeric acid. 5-amino- (3TMS)","Valeric acid. 5-amino-"
"M000575_A164006-101-xxx_NA_1629.04_TRUE_VAR5_ALK_Tartaric acid (4TMS)","Tartaric acid"
"M000013_A164007-101-xxx_NA_1621.76_PRED_VAR5_ALK_Asparagine (4TMS) BP1","Asparagine  1"
"M000576_A164008-101-xxx_NA_1638.04_TRUE_VAR5_ALK_Lyxose (1MEOX) (4TMS) BP","Lyxose"
"M000000_A164009-101-xxx_NA_1628.28_PRED_VAR5_ALK_NA","NA"
"M000577_A164010-101-xxx_NA_1645.38_TRUE_VAR5_ALK_Propane. 1.3-diamino- (4TMS)","Propane. 1.3-diamino-"
"M000000_A164011-101-xxx_NA_0_FALSE_VAR5_ALK_NA","NA"
"M000000_A164012-101-xxx_NA_1645.04_PRED_VAR5_ALK_NA","NA"
"M000965_A164013-101-xxx_NA_1648.1_TRUE_VAR5_ALK_Decanoic acid. 3-hydroxy- (2TMS)","Decanoic acid. 3-hydroxy-"
"M000966_A164014-101-xxx_NA_1643.43_TRUE_VAR5_ALK_Acetic acid. 4-hydroxyphenyl- (2TMS)","Acetic acid. 4-hydroxyphenyl-"
"M000967_A164015-101-xxx_NA_1645.55_TRUE_VAR5_ALK_Propane. 1.2-diamino- (4TMS)","Propane. 1.2-diamino-"
"M000968_A164016-101-xxx_NA_1648.42_TRUE_VAR5_ALK_Aspartic acid. 3-hydroxy-. threo- (4TMS)","Aspartic acid. 3-hydroxy-. threo-"
"M000000_A164017-101-xxx_NA_1645.42_TRUE_VAR5_ALK_D164543","D164543"
"M000000_A164018-101-xxx_NA_1634.91_PRED_VAR5_ALK_5-Acetamidopentanoic-acid_1TMS","5-Acetamidopentanoic-acid"
"M000000_A164019-101-xxx_NA_1641.61_PRED_VAR5_ALK_Unknown#sst-cgl-042","Unknown#sst-cgl-042"
"M000000_A164020-101-xxx_NA_1641.61_PRED_VAR5_ALK_Succinyl-lactate_2TMS","Succinyl-lactate"
"M000000_A164021-101-xxx_NA_1639.4_PRED_VAR5_ALK_Unknown#bth-pae-045","Unknown#bth-pae-045"
"M000000_A164022-101-xxx_NA_1641.11_PRED_VAR5_ALK_Unknown#bth-pae-046","Unknown#bth-pae-046"
"M000000_A164023-101-xxx_NA_1636.58_PRED_VAR5_ALK_2-Hydroxydodecanoic_acid_1MeO","2-Hydroxydodecanoic_acid"
"M000579_A165001-101-xxx_NA_1646.29_TRUE_VAR5_ALK_Xylose (1MEOX) (4TMS) MP","Xylose"
"M000000_A165002-101-xxx_NA_1643.67_PRED_VAR5_ALK_NA","NA"
"M001186_A165003-101-xxx_NA_1636.03_TRUE_VAR5_ALK_Arabinonic acid-1.4-lactone (3TMS)","Arabinonic acid-1.4-lactone"
"M000000_A165004-101-xxx_NA_1638.32_PRED_VAR5_ALK_NA165004 (classified unknown)","NA165004 (classified unknown)"
"M000576_A165006-101-xxx_NA_1650.36_TRUE_VAR5_ALK_Lyxose (1MEOX) (4TMS) MP","Lyxose"
"M000953_A165008-101-xxx_NA_1656.23_TRUE_VAR5_ALK_Imidazole-4-acetic acid (2TMS)","Imidazole-4-acetic acid"
"M000969_A165009-101-xxx_NA_1656.58_TRUE_VAR5_ALK_Morpholine. N-(3-aminopropyl)- (2TMS)","Morpholine. N-(3-aminopropyl)-"
"M000000_A165011-101-xxx_NA_1654.34_TRUE_VAR5_ALK_D165453","D165453"
"M000000_A165012-101-xxx_NA_1647.24_PRED_VAR5_ALK_Unknown#bth-pae-002","Unknown#bth-pae-002"
"M000000_A165013-101-xxx_NA_1648.95_PRED_VAR5_ALK_Unknown#sst-cgl-044","Unknown#sst-cgl-044"
"M000000_A165014-101-xxx_NA_1646.53_PRED_VAR5_ALK_Unknown#sst-cgl-043","Unknown#sst-cgl-043"
"M000579_A166001-101-xxx_NA_1636.65_TRUE_VAR5_ALK_Xylose (1MEOX) (4TMS) BP","Xylose"
"M000000_A166002-101-xxx_NA_1643_PRED_VAR5_ALK_NA","NA"
"M000479_A166003-101-xxx_NA_1654.1_TRUE_VAR5_ALK_Dodecanoic acid (1TMS)","Dodecanoic acid"
"M000000_A166004-101-xxx_NA_1645.41_PRED_VAR5_ALK_NA","NA"
"M000659_A166005-101-xxx_NA_1652.23_TRUE_VAR5_ALK_Cinnamic acid. 3-methoxy-. cis- (1TMS)","Cinnamic acid. 3-methoxy-. cis-"
"M000000_A166010-101-xxx_NA_1657.76_PRED_VAR5_ALK_NA","NA"
"M000116_A166011-101-xxx_NA_1664.2_TRUE_VAR5_ALK_Benzoic acid. 4-amino- (1TMS)","Benzoic acid. 4-amino-"
"M000879_A166012-101-xxx_NA_1665.98_TRUE_VAR5_ALK_Ribulose (1MEOX) (4TMS) MP","Ribulose"
"M000970_A166013-101-xxx_NA_1662.57_TRUE_VAR5_ALK_Aspartic acid. N-acetyl- (3TMS)","Aspartic acid. N-acetyl-"
"M000971_A166014-101-xxx_NA_0_FALSE_VAR5_ALK_Ethanesulfonic acid. 2-mercapto- (2TMS)","Ethanesulfonic acid. 2-mercapto-"
"M001197_A166015-101-xxx_NA_1667.77_TRUE_VAR5_ALK_Trans-1.2-0-benzylidene-D-glycerol (1TMS)","Trans-1.2-0-benzylidene-D-glycerol"
"M000000_A166016-101-xxx_NA_1664.72_TRUE_VAR5_ALK_NA_222_204_179_119_105","NA_222_204_179_119_105"
"M000000_A166017-101-xxx_NA_1655.98_PRED_VAR5_ALK_2-Hydroxydecanoic-acid_2TMS","2-Hydroxydecanoic-acid"
"M000000_A166018-101-xxx_NA_1659.78_PRED_VAR5_ALK_3-Ketoadipate_2_1MeOX_2TMS","3-Ketoadipate_22TMS"
"M000000_A166019-101-xxx_NA_1654.88_PRED_VAR5_ALK_3-Ketoadipate_1_1MeOX_2TMS","3-Ketoadipate_12TMS"
"M000000_A166020-101-xxx_NA_1652.67_PRED_VAR5_ALK_Unknown#sst-cgl-045","Unknown#sst-cgl-045"
"M000000_A166021-101-xxx_NA_1653.27_PRED_VAR5_ALK_Unknown#sst-cgl-046","Unknown#sst-cgl-046"
"M000000_A166022-101-xxx_NA_1659.7_PRED_VAR5_ALK_Unknown#bth-pae-047","Unknown#bth-pae-047"
"M000021_A167001-101-xxx_NA_1662.83_TRUE_VAR5_ALK_Homocysteine (3TMS)","Homocysteine"
"M000581_A167002-101-xxx_NA_1650.62_TRUE_VAR5_ALK_Arabinose (1MEOX) (4TMS) MP","Arabinose"
"M000000_A167003-101-xxx_NA_1659.46_PRED_VAR5_ALK_NA","NA"
"M000000_A167004-101-xxx_NA_1658.7_PRED_VAR5_ALK_NA","NA"
"M000000_A167005-101-xxx_NA_1649.88_PRED_VAR5_ALK_NA","NA"
"M000000_A167006-101-xxx_NA_1660.85_PRED_VAR5_ALK_NA","NA"
"M000473_A167009-101-xxx_NA_1689.12_TRUE_VAR5_ALK_Cysteine. N-acetyl- (3TMS)","Cysteine. N-acetyl-"
"M000581_A167010-101-xxx_NA_1660.36_TRUE_VAR5_ALK_Arabinose (1MEOX) (4TMS) BP","Arabinose"
"M000582_A167011-101-xxx_NA_1649.64_TRUE_VAR5_ALK_Ribose (1MEOX) (4TMS) BP","Ribose"
"M000848_A167012-101-xxx_NA_1674.89_TRUE_VAR5_ALK_Propionic acid. 3-ureido- (2TMS)","Propionic acid. 3-ureido-"
"M000972_A167013-101-xxx_NA_1670.63_TRUE_VAR5_ALK_Methionine. N-acetyl- (2TMS)","Methionine. N-acetyl-"
"M001117_A167014-101-xxx_NA_1671.43_TRUE_VAR5_ALK_Oxaloacetate (1MEOX) (3TMS) MP","Oxaloacetate"
"M000879_A167015-101-xxx_NA_1671.45_TRUE_VAR5_ALK_similar to NA (Ribulose like)","similar to NA (Ribulose like)"
"M000000_A167016-101-xxx_NA_1674.64_TRUE_VAR5_ALK_NA","NA"
"M000000_A167017-101-xxx_NA_1673.75_TRUE_VAR5_ALK_NA_220_162_147_132_91","NA_220_162_147_132_91"
"M000000_A167018-101-xxx_NA_1675.59_TRUE_VAR5_ALK_D167572","D167572"
"M000000_A167019-101-xxx_NA_1668.74_PRED_VAR5_ALK_Taurine_3TMS","Taurine"
"M000000_A167020-101-xxx_NA_1668.75_PRED_VAR5_ALK_Unknown#sst-cgl-048","Unknown#sst-cgl-048"
"M000000_A167021-101-xxx_NA_1669.05_PRED_VAR5_ALK_Unknown#bth-pae-064","Unknown#bth-pae-064"
"M000013_A168001-101-xxx_NA_1666.44_TRUE_VAR5_ALK_Asparagine (3TMS)","Asparagine"
"M000582_A168002-101-xxx_NA_1665.99_TRUE_VAR5_ALK_Ribose (1MEOX) (4TMS) MP","Ribose"
"M000744_A168004-101-xxx_NA_1653.27_TRUE_VAR5_ALK_Pyrophosphate (4TMS)","Pyrophosphate"
"M000973_A168005-101-xxx_NA_1663.2_TRUE_VAR5_ALK_Hexanedioic acid. hydroxy- (3TMS)","Hexanedioic acid. hydroxy-"
"M000019_A168006-101-xxx_NA_1669.99_TRUE_VAR5_ALK_Homoserine (4TMS)","Homoserine"
"M000585_A168007-101-xxx_NA_1671.88_TRUE_VAR5_ALK_Cinnamic acid. 2-hydroxy-. cis- (2TMS)","Cinnamic acid. 2-hydroxy-. cis-"
"M000583_A168008-101-xxx_NA_1664.17_TRUE_VAR5_ALK_Xylulose (1MEOX) (4TMS) MP","Xylulose"
"M000870_A168009-101-xxx_NA_1685.56_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000000_A168010-101-xxx_NA_1672_PRED_VAR5_ALK_NA","NA"
"M000000_A168011-101-xxx_NA_1685.13_PRED_VAR5_ALK_NA","NA"
"M000664_A168013-101-xxx_NA_1704.63_TRUE_VAR5_ALK_Butanoic acid. 4-amino-3-hydroxy- (4TMS)","Butanoic acid. 4-amino-3-hydroxy-"
"M000741_A168014-101-xxx_NA_1667.19_PRED_VAR5_ALK_Tridecan-1-ol. n- (1TMS)","Tridecan-1-ol. n-"
"M000000_A168015-101-xxx_NA_1679.79_TRUE_VAR5_ALK_NA168015 (classified unknown)","NA168015 (classified unknown)"
"M000945_A168016-101-xxx_NA_1682.87_TRUE_VAR5_ALK_Glutamic acid. N-methyl- (3TMS)","Glutamic acid. N-methyl-"
"M000879_A168017-101-xxx_NA_1687.63_TRUE_VAR5_ALK_similar to NA (Ribulose like)","similar to NA (Ribulose like)"
"M000952_A168018-101-xxx_NA_1682.18_TRUE_VAR5_ALK_Cytosine. 5-methyl- (3TMS)","Cytosine. 5-methyl-"
"M000974_A168019-101-xxx_NA_1685.63_TRUE_VAR5_ALK_Propanoic acid. 3-(2-hydroxyphenyl)- (2TMS)","Propanoic acid. 3-(2-hydroxyphenyl)-"
"M001124_A168020-101-xxx_NA_1679.12_TRUE_VAR5_ALK_Cysteinesulfinic acid (3TMS)","Cysteinesulfinic acid"
"M000871_A168021-101-xxx_NA_1684.55_TRUE_VAR5_ALK_Kojic acid (2TMS)","Kojic acid"
"M001199_A168025-101-xxx_NA_1686.56_TRUE_VAR5_ALK_Cis-1.2-0-benzylidene-D-glycerol (1TMS)","Cis-1.2-0-benzylidene-D-glycerol"
"M000000_A168026-101-xxx_NA_1686.02_TRUE_VAR5_ALK_D168614","D168614"
"M000000_A168027-101-xxx_NA_1684.38_TRUE_VAR5_ALK_NA168027","NA168027"
"M000000_A168028-101-xxx_NA_1673.48_PRED_VAR5_ALK_Unknown#bth-pae-048","Unknown#bth-pae-048"
"M000975_A169001-101-xxx_NA_1679.9_TRUE_VAR5_ALK_Ribonic acid-1.4-lactone (3TMS)","Ribonic acid-1.4-lactone"
"M000583_A169002-101-xxx_NA_1690.12_PRED_VAR5_ALK_Xylulose (4TMS)","Xylulose"
"M000000_A169004-101-xxx_NA_1687.28_PRED_VAR5_ALK_NA","NA"
"M000013_A169005-101-xxx_NA_1687.68_PRED_VAR5_ALK_similar to Asparagine -H2O (3TMS)","similar to Asparagine -H2O"
"M001125_A169006-101-xxx_NA_1690.58_TRUE_VAR5_ALK_Galactose. 3.6-anhydro- (1MEOX) (3TMS)","Galactose. 3.6-anhydro-"
"M001127_A169007-101-xxx_NA_1695.87_TRUE_VAR5_ALK_Malic acid. 3-oxalo- (TMS)","Malic acid. 3-oxalo-"
"M000936_A169008-101-xxx_NA_1694.19_TRUE_VAR5_ALK_Tartronic acid. 2-(methylaminomethyl)- (1MEOX) (3TMS)","Tartronic acid. 2-(methylaminomethyl)-"
"M000976_A169009-101-xxx_NA_1695.26_TRUE_VAR5_ALK_Methionine. N-formyl- (2TMS)","Methionine. N-formyl-"
"M000976_A169010-101-xxx_NA_1692.3_TRUE_VAR5_ALK_Methionine. N-formyl- (1TMS)","Methionine. N-formyl-"
"M000977_A169011-101-xxx_NA_1690.16_TRUE_VAR5_ALK_Aspartic acid. N-formyl- (3TMS)","Aspartic acid. N-formyl-"
"M000000_A169012-101-xxx_NA_1693.31_TRUE_VAR5_ALK_NA_220_205_187_162_147_121_105_91_79","NA_220_205_187_162_147_121_105_91_79"
"M000000_A169013-101-xxx_NA_1692.45_TRUE_VAR5_ALK_NA_218_203_162_147_119_105_91_79","NA_218_203_162_147_119_105_91_79"
"M001214_A169014-101-xxx_NA_1696.05_TRUE_VAR5_ALK_3-Hydroxytridecan-4-one (1MEOX) (1TMS)","3-Hydroxytridecan-4-one"
"M000000_A170001-101-xxx_NA_1688.9_PRED_VAR5_ALK_NA170001 (classified unknown)","NA170001 (classified unknown)"
"M000000_A170002-101-xxx_NA_1691.3_PRED_VAR5_ALK_NA","NA"
"M000000_A170003-101-xxx_NA_1687.18_PRED_VAR5_ALK_NA","NA"
"M000000_A170004-101-xxx_NA_1687.18_PRED_VAR5_ALK_NA","NA"
"M000000_A170005-101-xxx_NA_1682.68_PRED_VAR5_ALK_NA","NA"
"M000000_A170006-101-xxx_NA_1680.84_PRED_VAR5_ALK_NA","NA"
"M000014_A170007-101-xxx_NA_1702.95_PRED_VAR5_ALK_Lysine (3TMS) (Derivate not found)","Lysine"
"M000538_A170009-101-xxx_NA_1698.45_PRED_VAR5_ALK_Heptadecane. n-","Heptadecane. n-"
"M000000_A170011-101-xxx_NA_1702.61_PRED_VAR5_ALK_NA170011","NA170011"
"M000972_A170012-101-xxx_NA_1704.02_TRUE_VAR5_ALK_Methionine. N-acetyl- (1TMS)","Methionine. N-acetyl-"
"M000978_A170013-101-xxx_NA_1709.76_TRUE_VAR5_ALK_Benzaldehyde. 2.5-dihydroxy- (1MEOX) (2TMS) MP","Benzaldehyde. 2.5-dihydroxy-"
"M000000_A170017-101-xxx_NA_1703.79_TRUE_VAR5_ALK_NA","NA"
"M000000_A170018-101-xxx_NA_1709.27_TRUE_VAR5_ALK_NA170018","NA170018"
"M000000_A170019-101-xxx_NA_1700.73_PRED_VAR5_ALK_Unknown#sst-cgl-053","Unknown#sst-cgl-053"
"M000000_A170020-101-xxx_NA_1701.35_PRED_VAR5_ALK_Ribulose_2_1MeOX_4TMS","Ribulose_24TMS"
"M000000_A170021-101-xxx_NA_1694.39_PRED_VAR5_ALK_Unknown#bth-pae-049","Unknown#bth-pae-049"
"M000057_A171001-101-xxx_NA_1694.65_TRUE_VAR5_ALK_Xylitol (5TMS)","Xylitol"
"M000141_A171002-101-xxx_NA_1700.31_TRUE_VAR5_ALK_Glyceraldehyde-3-phosphate (1MEOX) (3TMS) BP","Glyceraldehyde-3-phosphate"
"M000000_A171003-101-xxx_NA_1692.47_PRED_VAR5_ALK_NA","NA"
"M000000_A171004-101-xxx_NA_1697.8_PRED_VAR5_ALK_NA","NA"
"M000000_A171005-101-xxx_NA_1692.54_PRED_VAR5_ALK_NA","NA"
"M000000_A171006-101-xxx_NA_1691.37_PRED_VAR5_ALK_NA","NA"
"M000229_A171007-101-xxx_NA_1698.82_TRUE_VAR5_ALK_Suberic acid (2TMS)","Suberic acid"
"M000660_A171009-101-xxx_NA_1708.48_TRUE_VAR5_ALK_Cinnamic acid. 4-methoxy-. cis- (1TMS)","Cinnamic acid. 4-methoxy-. cis-"
"M000588_A171012-101-xxx_NA_1707.57_TRUE_VAR5_ALK_Arabitol (5TMS)","Arabitol"
"M000000_A171016-101-xxx_NA_1693.74_PRED_VAR5_ALK_NA","NA"
"M000473_A171019-101-xxx_NA_1716.53_TRUE_VAR5_ALK_Cysteine. N-acetyl- (2TMS)","Cysteine. N-acetyl-"
"M000979_A171020-101-xxx_NA_1714.62_TRUE_VAR5_ALK_Indole. 3-hydroxy- (2TMS)","Indole. 3-hydroxy-"
"M000980_A171021-101-xxx_NA_1716_TRUE_VAR5_ALK_Putrescine. N-acetyl- (3TMS)","Putrescine. N-acetyl-"
"M000261_A171022-101-xxx_NA_1713.42_TRUE_VAR5_ALK_Homoserine lactone. N-hexanoyl- (1TMS)","Homoserine lactone. N-hexanoyl-"
"M000000_A171025-101-xxx_NA_1717.93_TRUE_VAR5_ALK_D171803","D171803"
"M000000_A171026-101-xxx_NA_1707.47_PRED_VAR5_ALK_Unknown#sst-cgl-052","Unknown#sst-cgl-052"
"M000000_A171027-101-xxx_NA_1707.57_PRED_VAR5_ALK_2-Dodecenoic-acid_1TMS","2-Dodecenoic-acid"
"M000248_A172001-101-xxx_NA_1701.03_TRUE_VAR5_ALK_Glucose. 1.6-anhydro-. beta- (3TMS)","Glucose. 1.6-anhydro-. beta-"
"M000590_A172002-101-xxx_NA_1707.41_TRUE_VAR5_ALK_Rhamnose (1MEOX) (4TMS) MP","Rhamnose"
"M000141_A172003-101-xxx_NA_1711.6_TRUE_VAR5_ALK_Glyceraldehyde-3-phosphate (1MEOX) (3TMS) MP","Glyceraldehyde-3-phosphate"
"M000141_A172004-101-xxx_NA_1709.24_PRED_VAR5_ALK_NA","NA"
"M000000_A172005-101-xxx_NA_1702.68_PRED_VAR5_ALK_NA","NA"
"M000592_A172006-101-xxx_NA_1709.15_TRUE_VAR5_ALK_Adipic acid. 2-amino- (3TMS)","Adipic acid. 2-amino-"
"M000572_A172007-101-xxx_NA_1709.84_TRUE_VAR5_ALK_Phenylpyruvic acid (2TMS)","Phenylpyruvic acid"
"M000000_A172008-101-xxx_NA_1709.2_PRED_VAR5_ALK_NA","NA"
"M000765_A172012-101-xxx_NA_1719.8_PRED_VAR5_ALK_Tetradecenoic acid methyl ester. 9-(Z)-. n-","Tetradecenoic acid methyl ester. 9-(Z)-. n-"
"M000468_A172014-101-xxx_NA_1729.02_TRUE_VAR5_ALK_Glutaric acid. 3-oxo- (1MEOX) (3TMS)","Glutaric acid. 3-oxo-"
"M000155_A173001-101-xxx_NA_1712.74_TRUE_VAR5_ALK_Ribitol (5TMS)","Ribitol"
"M000591_A173002-101-xxx_NA_1714.7_TRUE_VAR5_ALK_Fucose (1MEOX) (4TMS) MP","Fucose"
"M000590_A173003-101-xxx_NA_1715.07_TRUE_VAR5_ALK_Rhamnose (1MEOX) (4TMS) BP","Rhamnose"
"M000141_A173004-101-xxx_NA_1717.82_PRED_VAR5_ALK_NA","NA"
"M000000_A173005-101-xxx_NA_1719.96_PRED_VAR5_ALK_NA","NA"
"M000000_A173008-101-xxx_NA_1727.5_PRED_VAR5_ALK_NA","NA"
"M000599_A173009-101-xxx_NA_1729.57_TRUE_VAR5_ALK_Tetradecanoic acid methyl ester (FAME MIX)","Tetradecanoic acid methyl ester"
"M000981_A173010-101-xxx_NA_1737.32_TRUE_VAR5_ALK_Benzoic acid. 2.3-dihydroxy- (3TMS)","Benzoic acid. 2.3-dihydroxy-"
"M000172_A173011-101-xxx_NA_1738.95_TRUE_VAR5_ALK_Benzene. hexachloro-","Benzene. hexachloro-"
"M001168_A173012-101-xxx_NA_1737.23_TRUE_VAR5_ALK_Jasmonic acid methyl ester. 2-trans- (1MEOX)","Jasmonic acid methyl ester. 2-trans-"
"M000000_A173015-101-xxx_NA_1733.71_TRUE_VAR5_ALK_NA173015","NA173015"
"M000000_A173016-101-xxx_NA_1723.45_PRED_VAR5_ALK_Pyridine-2.3-dicarboxylic-acid_2TMS","Pyridine-2.3-dicarboxylic-acid"
"M000000_A173017-101-xxx_NA_1722.15_PRED_VAR5_ALK_Unknown#sst-cgl-054","Unknown#sst-cgl-054"
"M000000_A173018-101-xxx_NA_1725.37_PRED_VAR5_ALK_Histidinol_2TMS","Histidinol"
"M000000_A173019-101-xxx_NA_1728.48_PRED_VAR5_ALK_Unknown#bth-pae-053","Unknown#bth-pae-053"
"M000000_A174001-101-xxx_NA_1732.08_PRED_VAR5_ALK_NA174001","NA174001"
"M000329_A174002-101-xxx_NA_1713.86_TRUE_VAR5_ALK_Glycerol-2-phosphate (4TMS)","Glycerol-2-phosphate"
"M000033_A174003-101-xxx_NA_1724.88_TRUE_VAR5_ALK_Aspartic acid (4TMS)","Aspartic acid"
"M000000_A174004-101-xxx_NA_1723.94_PRED_VAR5_ALK_NA","NA"
"M000000_A174005-101-xxx_NA_1723.17_PRED_VAR5_ALK_NA","NA"
"M000829_A174006-101-xxx_NA_1723.36_TRUE_VAR5_ALK_Caproic acid. 6-amino- (3TMS)","Caproic acid. 6-amino-"
"M000586_A174007-101-xxx_NA_1733.34_TRUE_VAR5_ALK_Cinnamic acid. 3-hydroxy-. cis- (2TMS)","Cinnamic acid. 3-hydroxy-. cis-"
"M000032_A174008-101-xxx_NA_1720.58_TRUE_VAR5_ALK_Glutamine (4TMS)","Glutamine"
"M000234_A174011-101-xxx_NA_1734.67_TRUE_VAR5_ALK_Agmatine [-NH3] (3TMS)","Agmatine"
"M000000_A174013-101-xxx_NA_1733.74_PRED_VAR5_ALK_NA","NA"
"M000000_A174015-101-xxx_NA_1735.75_PRED_VAR5_ALK_NA","NA"
"M000950_A174017-101-xxx_NA_1742.39_TRUE_VAR5_ALK_Quinazoline. 4-hydroxy-","Quinazoline. 4-hydroxy-"
"M000261_A174018-101-xxx_NA_1744.7_TRUE_VAR5_ALK_Homoserine lactone. N-hexanoyl-","Homoserine lactone. N-hexanoyl-"
"M000982_A174019-101-xxx_NA_1747.83_TRUE_VAR5_ALK_Iminodiacetic acid. N-(2-hydroxyethyl)- (3TMS)","Iminodiacetic acid. N-(2-hydroxyethyl)-"
"M000983_A174020-101-xxx_NA_1748.16_TRUE_VAR5_ALK_Benzimidazole. 5.6-dimethyl-","Benzimidazole. 5.6-dimethyl-"
"M000000_A174023-101-xxx_NA_1732.51_PRED_VAR5_ALK_Tricarballylic-acid_3TMS","Tricarballylic-acid"
"M000000_A174024-101-xxx_NA_1738.74_PRED_VAR5_ALK_Unknown#sst-cgl-058","Unknown#sst-cgl-058"
"M000000_A174025-101-xxx_NA_1732.91_PRED_VAR5_ALK_Unknown#bth-pae-054","Unknown#bth-pae-054"
"M000000_A174026-101-xxx_NA_1738.94_PRED_VAR5_ALK_Unknown#sst-cgl-A11","Unknown#sst-cgl-A11"
"M000591_A175001-101-xxx_NA_1729.02_TRUE_VAR5_ALK_Fucose (1MEOX) (4TMS) BP","Fucose"
"M000186_A175002-101-xxx_NA_1734.98_TRUE_VAR5_ALK_Putrescine (4TMS)","Putrescine"
"M000000_A175003-101-xxx_NA_1732.88_PRED_VAR5_ALK_NA","NA"
"M001180_A175004-101-xxx_NA_1739.07_TRUE_VAR5_ALK_Lyxonic acid-1.4-lactone (3TMS)","Lyxonic acid-1.4-lactone"
"M000000_A175005-101-xxx_NA_1731.9_PRED_VAR5_ALK_NA","NA"
"M000000_A175006-101-xxx_NA_1735.47_PRED_VAR5_ALK_NA","NA"
"M000201_A175007-101-xxx_NA_1754.83_PRED_VAR5_ALK_Glucose. 3-deoxy-. D- (1MEOX) (4TMS)","Glucose. 3-deoxy-. D-"
"M000000_A175008-101-xxx_NA_1740.69_PRED_VAR5_ALK_NA","NA"
"M000000_A175010-101-xxx_NA_1744.11_PRED_VAR5_ALK_NA","NA"
"M001165_A175012-101-xxx_NA_1757.43_TRUE_VAR5_ALK_Glutamine. N-gamma-ethyl- (3TMS)","Glutamine. N-gamma-ethyl-"
"M000980_A175013-101-xxx_NA_1758.1_TRUE_VAR5_ALK_Putrescine. N-acetyl- (2TMS)","Putrescine. N-acetyl-"
"M001204_A175015-101-xxx_NA_1753.61_TRUE_VAR5_ALK_DMDP (5TMS)","DMDP"
"M000000_A175016-101-xxx_NA_1759.4_TRUE_VAR5_ALK_NA_220_189_81","NA_220_189_81"
"M000000_A175017-101-xxx_NA_1756.02_TRUE_VAR5_ALK_NA175017","NA175017"
"M000000_A175018-101-xxx_NA_1746.74_PRED_VAR5_ALK_Pyridoxal_2TMS","Pyridoxal"
"M000000_A175019-101-xxx_NA_1750.41_PRED_VAR5_ALK_Unknown#sst-cgl-060","Unknown#sst-cgl-060"
"M000000_A175020-101-xxx_NA_1746.69_PRED_VAR5_ALK_Unknown#bth-pae-055","Unknown#bth-pae-055"
"M000000_A175021-101-xxx_NA_1744.57_PRED_VAR5_ALK_Unknown#bth-pae-060","Unknown#bth-pae-060"
"M000000_A176001-101-xxx_NA_1742.97_PRED_VAR5_ALK_NA176001 (classified unknown)","NA176001 (classified unknown)"
"M000113_A176002-101-xxx_NA_1741.1_TRUE_VAR5_ALK_Aconitic acid. cis- (3TMS)","Aconitic acid. cis-"
"M000279_A176003-101-xxx_NA_1738.69_TRUE_VAR5_ALK_Orotic acid (3TMS)","Orotic acid"
"M000477_A176004-101-xxx_NA_1741.8_TRUE_VAR5_ALK_NA176004 (classified unknown)","NA176004 (classified unknown)"
"M000835_A176005-101-xxx_NA_1742.46_TRUE_VAR5_ALK_Arginine [-NH3] (2TMS)","Arginine"
"M000028_A176006-101-xxx_NA_1750.77_TRUE_VAR5_ALK_Ornithine (3TMS)","Ornithine"
