"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"811","Rhamnose","Rhamnose","HMDB0000849","25310","62346","C00507","5812","C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O","1"
"812","NA","NA","NA","NA","NA","NA","NA","NA","0"
"813","NA","NA","NA","NA","NA","NA","NA","NA","0"
"814","NA","NA","NA","NA","NA","NA","NA","NA","0"
"815","Tetradecanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"816","Benzoic acid. 2.3-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"817","Benzene. hexachloro-","NA","NA","NA","NA","NA","NA","NA","0"
"818","Jasmonic acid methyl ester. 2-trans-","NA","NA","NA","NA","NA","NA","NA","0"
"819","NA173015","NA","NA","NA","NA","NA","NA","NA","0"
"820","Pyridine-2.3-dicarboxylic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"821","Unknown#sst-cgl-054","NA","NA","NA","NA","NA","NA","NA","0"
"822","Histidinol","L-Histidinol","HMDB0003431","165271","16255","C00860","3267","C1=C(NC=N1)C[C@@H](CO)N","1"
"823","Unknown#bth-pae-053","NA","NA","NA","NA","NA","NA","NA","0"
"824","NA174001","NA","NA","NA","NA","NA","NA","NA","0"
"825","Glycerol-2-phosphate","Beta-Glycerophosphoric acid","HMDB0002520","2526","17270","C02979","6708","C(C(CO)OP(=O)(O)O)O","1"
"826","Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","C([C@@H](C(=O)O)N)C(=O)O","1"
"827","NA","NA","NA","NA","NA","NA","NA","NA","0"
"828","NA","NA","NA","NA","NA","NA","NA","NA","0"
"829","Caproic acid. 6-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"830","Cinnamic acid. 3-hydroxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"831","Glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"832","Agmatine","Agmatine","HMDB0001432","199","17431","C00179","3523","C(CCN=C(N)N)CN","1"
"833","NA","NA","NA","NA","NA","NA","NA","NA","0"
"834","NA","NA","NA","NA","NA","NA","NA","NA","0"
"835","Quinazoline. 4-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"836","Homoserine lactone. N-hexanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"837","Iminodiacetic acid. N-(2-hydroxyethyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"838","Benzimidazole. 5.6-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"839","Tricarballylic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"840","Unknown#sst-cgl-058","NA","NA","NA","NA","NA","NA","NA","0"
"841","Unknown#bth-pae-054","NA","NA","NA","NA","NA","NA","NA","0"
"842","Unknown#sst-cgl-A11","NA","NA","NA","NA","NA","NA","NA","0"
"843","Fucose","L-Fucose","HMDB0000174","17106","2181","C01019","268","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O","1"
"844","Putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","C(CCN)CN","1"
"845","NA","NA","NA","NA","NA","NA","NA","NA","0"
"846","Lyxonic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"847","NA","NA","NA","NA","NA","NA","NA","NA","0"
"848","NA","NA","NA","NA","NA","NA","NA","NA","0"
"849","Glucose. 3-deoxy-. D-","NA","NA","NA","NA","NA","NA","NA","0"
"850","NA","NA","NA","NA","NA","NA","NA","NA","0"
"851","NA","NA","NA","NA","NA","NA","NA","NA","0"
"852","Glutamine. N-gamma-ethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"853","Putrescine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"854","DMDP","NA","NA","NA","NA","NA","NA","NA","0"
"855","NA_220_189_81","NA","NA","NA","NA","NA","NA","NA","0"
"856","NA175017","NA","NA","NA","NA","NA","NA","NA","0"
"857","Pyridoxal","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(C(=C1O)C=O)CO","1"
"858","Unknown#sst-cgl-060","NA","NA","NA","NA","NA","NA","NA","0"
"859","Unknown#bth-pae-055","NA","NA","NA","NA","NA","NA","NA","0"
"860","Unknown#bth-pae-060","NA","NA","NA","NA","NA","NA","NA","0"
"861","NA176001 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"862","Aconitic acid. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"863","Orotic acid","Orotic acid","HMDB0000226","967","16742","C00295","318","C1=C(NC(=O)NC1=O)C(=O)O","1"
"864","NA176004 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"865","Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","C(C[C@@H](C(=O)O)N)CN=C(N)N","1"
"866","Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","C(C[C@@H](C(=O)O)N)CN","1"
"867","Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","16108","C00111","6262","C(C(=O)COP(=O)(O)O)O","1"
"868","Calystegine A3","NA","NA","NA","NA","NA","NA","NA","0"
"869","Calystegine A3","NA","NA","NA","NA","NA","NA","NA","0"
"870","NA","NA","NA","NA","NA","NA","NA","NA","0"
"871","NA","NA","NA","NA","NA","NA","NA","NA","0"
"872","Tridecanoic acid","Tridecanoic acid","HMDB0000910","12530","45919","C17076","5866","CCCCCCCCCCCCC(=O)O","1"
"873","Aconitic acid. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"874","4-(Methylamino)benzoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"875","Histamine. 1-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"876","Octopamine","p-Octopamine","HMDB0004825","440266","44715","C04227","7087","C1=CC(=CC=C1[C@H](CN)O)O","1"
"877","1.4-Naphthoquinone. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"878","Farnesol  2","NA","NA","NA","NA","NA","NA","NA","0"
"879","NA_220_205_95","NA","NA","NA","NA","NA","NA","NA","0"
"880","NA_222_191_163_135_121_93_81","NA","NA","NA","NA","NA","NA","NA","0"
"881","D176099","NA","NA","NA","NA","NA","NA","NA","0"
"882","NA176025 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"883","Unknown#bth-pae-056","NA","NA","NA","NA","NA","NA","NA","0"
"884","Ribonic acid","Ribonic acid","HMDB0000867","5460677","21077","C01685","3290","C([C@H]([C@H]([C@H](C(=O)O)O)O)O)O","1"
"885","Glycerol-3-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","C([C@H](COP(=O)(O)O)O)O","1"
"886","Levulinic acid. 5-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"887","Glucopyranose","NA","NA","NA","NA","NA","NA","NA","0"
"888","NA","NA","NA","NA","NA","NA","NA","NA","0"
"889","Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","16108","C00111","6262","C(C(=O)COP(=O)(O)O)O","1"
"890","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"891","Tetradecan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"892","Glutamic acid. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"893","Glutamic acid. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"894","Methionine sulfoxide","Methionine sulfoxide","HMDB0002005","847","49033","","6428","CS(=O)CCC(C(=O)O)N","1"
"895","Ethanolaminephosphate","NA","NA","NA","NA","NA","NA","NA","0"
"896","Propanoic acid. 2-amino-3-phosphono-","NA","NA","NA","NA","NA","NA","NA","0"
"897","Farnesol  1","NA","NA","NA","NA","NA","NA","NA","0"
"898","Benzoic acid. 2.5-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"899","Homovanillic acid","Homovanillic acid","HMDB0000118","1738","545959","C05582","971","COC1=C(C=CC(=C1)CC(=O)O)O","1"
"900","Imidazole. 5-amino-4-carboxamide","NA","NA","NA","NA","NA","NA","NA","0"
"901","NA_220_202_189_187_145_132_121_119_93_79","NA","NA","NA","NA","NA","NA","NA","0"
"902","NA177025 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"903","Unknown#sst-cgl-062","NA","NA","NA","NA","NA","NA","NA","0"
"904","Glutamine. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"905","NA","NA","NA","NA","NA","NA","NA","NA","0"
"906","NA","NA","NA","NA","NA","NA","NA","NA","0"
"907","Vanillic acid","Vanillic acid","HMDB0000484","8468","30816","C06672","5471","COC1=C(C=CC(=C1)C(=O)O)O","1"
"908","Lyxonic acid","NA","NA","NA","NA","NA","NA","NA","0"
"909","NA","NA","NA","NA","NA","NA","NA","NA","0"
"910","Orotic acid. 4.5-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"911","NA","NA","NA","NA","NA","NA","NA","NA","0"
"912","NA","NA","NA","NA","NA","NA","NA","NA","0"
"913","NA178011","NA","NA","NA","NA","NA","NA","NA","0"
"914","Mannopyranoside. 1-O-methyl-. alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"915","Galactose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"916","Glucose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"917","Galactose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"918","Glucose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"919","Phenylalanine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"920","Imidazole. 5-amino-4-carboxamide","NA","NA","NA","NA","NA","NA","NA","0"
"921","1.4-Naphthoquinone. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"922","Glutamine. N-gamma-ethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"923","Shikimic acid. 3-dehydro-","NA","NA","NA","NA","NA","NA","NA","0"
"924","Shikimic acid. 3-dehydro-","NA","NA","NA","NA","NA","NA","NA","0"
"925","NA178025","NA","NA","NA","NA","NA","NA","NA","0"
"926","Unknown#sst-cgl-064","NA","NA","NA","NA","NA","NA","NA","0"
"927","Arabinonic acid","Arabinonic acid","HMDB0000539","122045","20912","C00878","5524","C([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"928","Levulinic acid. 5-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"929","NA","NA","NA","NA","NA","NA","NA","NA","0"
"930","NA","NA","NA","NA","NA","NA","NA","NA","0"
"931","Glyceric acid-2-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"932","Calystegine B4","NA","NA","NA","NA","NA","NA","NA","0"
"933","NA","NA","NA","NA","NA","NA","NA","NA","0"
"934","NA","NA","NA","NA","NA","NA","NA","NA","0"
"935","NA","NA","NA","NA","NA","NA","NA","NA","0"
"936","NA","NA","NA","NA","NA","NA","NA","NA","0"
"937","NA","NA","NA","NA","NA","NA","NA","NA","0"
"938","Lactic acid. 3-imidazole-","NA","NA","NA","NA","NA","NA","NA","0"
"939","NA179018","NA","NA","NA","NA","NA","NA","NA","0"
"940","Unknown#sst-cgl-065","NA","NA","NA","NA","NA","NA","NA","0"
"941","NA180001 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"942","similar to Fructose Derivate","NA","NA","NA","NA","NA","NA","NA","0"
"943","NA180004","NA","NA","NA","NA","NA","NA","NA","0"
"944","Cinnamic acid. 4-hydroxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"945","Octadecane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"946","Cinnamic acid. 2-methoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"947","Cinnamic acid. 3-methoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"948","NA","NA","NA","NA","NA","NA","NA","NA","0"
"949","NA","NA","NA","NA","NA","NA","NA","NA","0"
"950","Tetradecanoic acid. 13-methyl-. methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"951","Tetradecanoic acid. 12-methyl-. methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"952","Histidine. N-tau-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"953","Homoserine lactone. N-heptanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"954","Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","C1=CC=C2C(=C1)C(=CN2)CC=O","1"
"955","Heptanedioic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"956","Farnesol","Farnesol","HMDB0004305","445070","16619","C01126","7048","CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C","1"
"957","NA180026","NA","NA","NA","NA","NA","NA","NA","0"
"958","NA181001","NA","NA","NA","NA","NA","NA","NA","0"
"959","Shikimic acid","Shikimic acid","HMDB0003070","8742","16119","C00493","338","C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O","1"
"960","Glyceric acid-3-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"961","similar to Fructose Derivate","NA","NA","NA","NA","NA","NA","NA","0"
"962","NA","NA","NA","NA","NA","NA","NA","NA","0"
"963","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"964","Azelaic Acid","Azelaic acid","HMDB0000784","2266","48131","C08261","5750","C(CCCC(=O)O)CCCC(=O)O","1"
"965","NA","NA","NA","NA","NA","NA","NA","NA","0"
"966","NA","NA","NA","NA","NA","NA","NA","NA","0"
"967","Ethoxyquin","NA","NA","NA","NA","NA","NA","NA","0"
"968","Synephrine","p-Synephrine","HMDB0004826","7172","29081","C04548","7088","CNCC(C1=CC=C(C=C1)O)O","1"
"969","Benzoic acid. 2-amino-3-methoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"970","Phenylalanine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"971","Unknown#sst-cgl-068","NA","NA","NA","NA","NA","NA","NA","0"
"972","Cinnamic acid. 2-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"973","Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","C(C[C@@H](C(=O)O)N)CN","1"
"974","Isocitric acid","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"975","Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"976","NA","NA","NA","NA","NA","NA","NA","NA","0"
"977","Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","C1=NC2=C(N1)C(=O)N=CN2","1"
"978","NA","NA","NA","NA","NA","NA","NA","NA","0"
"979","similar to Fructose Derivate","NA","NA","NA","NA","NA","NA","NA","0"
"980","Pentadecanoic acid methyl ester. n-","NA","NA","NA","NA","NA","NA","NA","0"
"981","Galactopyranoside. 1-O-methyl-. alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"982","Glucose. 3-O-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"983","NA182014 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"984","Serine. O-phospho-","NA","NA","NA","NA","NA","NA","NA","0"
"985","Homogentisic acid","Homogentisic acid","HMDB0000130","780","44747","C00544","331","C1=CC(=C(C=C1O)CC(=O)O)O","1"
"986","Acetic acid. 3-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"987","Benzimidazole. 5.6-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"988","Dodecanoic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"989","Prolyl-glycine","NA","NA","NA","NA","NA","NA","NA","0"
"990","Acetic acid. 3.4-dihydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"991","beta-D-Allose","Allose","HMDB0001151","12285879","37741","C01487","348","C([C@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"992","Galactose_1","NA","NA","NA","NA","NA","NA","NA","0"
"993","Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","C(C[C@@H](C(=O)O)N)CN=C(N)N","1"
"994","Pinitol. D-","NA","NA","NA","NA","NA","NA","NA","0"
"995","NA","NA","NA","NA","NA","NA","NA","NA","0"
"996","Benzoic acid. 3.4-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"997","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"998","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"999","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"1000","Calystegine B3","NA","NA","NA","NA","NA","NA","NA","0"
"1001","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1002","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1003","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1004","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1005","Glucose. 3-O-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1006","Aspartic acid. N-(aminocarbonyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1007","Epinephrine","Epinephrine","HMDB0000068","5816","28918","C00788","5127","CNC[C@@H](C1=CC(=C(C=C1)O)O)O","1"
"1008","Pyridoxal","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(C(=C1O)C=O)CO","1"
"1009","Unknown#sst-cgl-072","NA","NA","NA","NA","NA","NA","NA","0"
"1010","Unknown#sst-cgl-073","NA","NA","NA","NA","NA","NA","NA","0"
"1011","Unknown#sst-cgl-074","NA","NA","NA","NA","NA","NA","NA","0"
"1012","Benzoic acid. 4-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"1013","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1014","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1015","similar to NA (Hexopyranose like)","NA","NA","NA","NA","NA","NA","NA","0"
"1016","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1017","Tagatose","D-Tagatose","HMDB0003418","92092","47693","C00795",NA,"C([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O","1"
"1018","Calystegine B4","NA","NA","NA","NA","NA","NA","NA","0"
"1019","Cinnamic acid. 4-methoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1020","Citric acid. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1021","Calystegine B1","NA","NA","NA","NA","NA","NA","NA","0"
"1022","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1023","Jasmonic acid.","NA","NA","NA","NA","NA","NA","NA","0"
"1024","Cadaverine","Cadaverine","HMDB0002322","273","18127","C01672","3236","C(CCN)CCN","1"
"1025","Jasmonic acid","Jasmonic acid","HMDB0032797","5281166","18292","C08491",NA,"CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O","1"
"1026","Jasmonic acid","Jasmonic acid","HMDB0032797","5281166","18292","C08491",NA,"CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O","1"
"1027","Hippuric acid","Hippuric acid","HMDB0000714","464","18089","C01586","1301","C1=CC=C(C=C1)C(=O)NCC(=O)O","1"
"1028","Hippuric acid","Hippuric acid","HMDB0000714","464","18089","C01586","1301","C1=CC=C(C=C1)C(=O)NCC(=O)O","1"
"1029","Pyruvic acid. 4-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1030","Homoserine lactone. N-heptanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1031","Propanoic acid. 2-amino-3-ureido-","NA","NA","NA","NA","NA","NA","NA","0"
"1032","Saccharin","Saccharin","HMDB0029723","5143","32111","C12283",NA,"C1=CC=C2C(=C1)C(=O)NS2(=O)=O","1"
"1033","Histidinol","L-Histidinol","HMDB0003431","165271","16255","C00860","3267","C1=C(NC=N1)C[C@@H](CO)N","1"
"1034","Cinnamic acid. 3.4.5-trimethoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1035","NA184030 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"1036","N-(3-Oxohexanoyl)-homoserine-lactone_11TMS","NA","NA","NA","NA","NA","NA","NA","0"
"1037","KDG_24TMS","NA","NA","NA","NA","NA","NA","NA","0"
"1038","KDG_14TMS","NA","NA","NA","NA","NA","NA","NA","0"
"1039","Unknown#sst-cgl-075","NA","NA","NA","NA","NA","NA","NA","0"
"1040","Unknown#sst-cgl-076","NA","NA","NA","NA","NA","NA","NA","0"
"1041","Unknown#sst-cgl-078","NA","NA","NA","NA","NA","NA","NA","0"
"1042","2-Hydroxytetradecanoic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"1043","Quinic acid","Quinic acid","HMDB0003072",NA,"17521","C06746","3329","OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","1"
"1044","Dehydroascorbic acid dimer","NA","NA","NA","NA","NA","NA","NA","0"
"1045","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1046","Tetradecanoic acid","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"1047","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1048","Psicose","NA","NA","NA","NA","NA","NA","NA","0"
"1049","Citric acid. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1050","Galactopyranoside. 1-O-methyl-. beta-","NA","NA","NA","NA","NA","NA","NA","0"
"1051","Caffeine","Caffeine","HMDB0001847","2519","27732","C07481","1455","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","1"
"1052","Fructose. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1053","Gulonic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"1054","Panthenol","NA","NA","NA","NA","NA","NA","NA","0"
"1055","Threitol. dithio-","NA","NA","NA","NA","NA","NA","NA","0"
"1056","Homoserine lactone. N-2-oxocaproyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1057","Histamine. N-omega-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1058","Tyrosine. meta-","NA","NA","NA","NA","NA","NA","NA","0"
"1059","Homoserine lactone. N-2-oxocaproyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1060","Artemisinic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1061","N-(3-Oxohexanoyl)-homoserine-lactone_21TMS","NA","NA","NA","NA","NA","NA","NA","0"
"1062","Gulonic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"1063","Lysine","L-Lysine","HMDB0000182","5962","18019","C00047","5200","C(CCN)C[C@@H](C(=O)O)N","1"
"1064","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1065","Glutamine. N-acetyl-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"1066","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1067","Tagatose","D-Tagatose","HMDB0003418","92092","47693","C00795",NA,"C([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O","1"
"1068","Psicose","NA","NA","NA","NA","NA","NA","NA","0"
"1069","Sorbose","L-Sorbose","HMDB0001266","441484","10295","C00247","6121","C1[C@@H]([C@H]([C@@H]([C@](O1)(CO)O)O)O)O","1"
"1070","Cinnamic acid. 3.5-dimethoxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"1071","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1072","Glycylglycine","NA","NA","NA","NA","NA","NA","NA","0"
"1073","Glycylglycine","NA","NA","NA","NA","NA","NA","NA","0"
"1074","Viburnitol","NA","NA","NA","NA","NA","NA","NA","0"
"1075","Homoserine lactone. N-2-oxocaproyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1076","Glucose. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1077","Propanoic acid. 3-amino-3-(4-hydroxyphenyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1078","Phenylglycol. 3.4-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1079","Anthranilic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1080","Mandelic acid. 4-hydroxy-3-methoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1081","Nicotinuric acid","Nicotinuric acid","HMDB0003269","68499","7563","C05380","1499","C1=CC(=CN=C1)C(=O)NCC(=O)O","1"
"1082","Indole. 5-cyano-","NA","NA","NA","NA","NA","NA","NA","0"
"1083","Adipamide","NA","NA","NA","NA","NA","NA","NA","0"
"1084","4-(Methylamino)benzoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1085","NA_236_163_107_81","NA","NA","NA","NA","NA","NA","NA","0"
"1086","NA186026","NA","NA","NA","NA","NA","NA","NA","0"
"1087","NA186027","NA","NA","NA","NA","NA","NA","NA","0"
"1088","Pyridoxamine","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=NC=C(C(=C1O)CN)CO","1"
"1089","Asparagine  2","NA","NA","NA","NA","NA","NA","NA","0"
"1090","Fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O","1"
"1091","Gluconic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"1092","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1093","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1094","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1095","Sorbose","L-Sorbose","HMDB0001266","441484","10295","C00247","6121","C1[C@@H]([C@H]([C@@H]([C@](O1)(CO)O)O)O)O","1"
"1096","Allose","Allose","HMDB0001151","12285879","37741","C01487","348","C([C@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"1097","Calystegine B4","NA","NA","NA","NA","NA","NA","NA","0"
"1098","Pentadecan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1099","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1100","Homoglutamine","NA","NA","NA","NA","NA","NA","NA","0"
"1101","Lactic acid. 3-imidazole-","NA","NA","NA","NA","NA","NA","NA","0"
"1102","Pyridoxal","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(C(=C1O)C=O)CO","1"
"1103","Galactose_2","NA","NA","NA","NA","NA","NA","NA","0"
"1104","Hexadecanal","NA","NA","NA","NA","NA","NA","NA","0"
"1105","3-Hydroxytetradecanoic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"1106","Galactose","D-Galactose","HMDB0000143","439357","28061","C00984","134","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O","1"
"1107","Mannose","D-Mannose","HMDB0000169","18950","4208","C00159",NA,"C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"1108","Fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O","1"
"1109","Adenine","Adenine","HMDB0000034","190","16708","C00147","85","C1=NC2=C(N1)C(=NC=N2)N","1"
"1110","Glucopyranoside. 1-O-methyl-. alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"1111","Histamine","Histamine","HMDB0000870","774","18295","C00388","68","C1=C(NC=N1)CCN","1"
"1112","Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","210328","17242","C00425","342","C([C@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O","1"
"1113","Allantoin","Allantoin","HMDB0000462","204","15676","C01551","89","C1(C(=O)NC(=O)N1)NC(=O)N","1"
"1114","Talose","NA","NA","NA","NA","NA","NA","NA","0"
"1115","Idose","NA","NA","NA","NA","NA","NA","NA","0"
